2024-08-06 02:11:18,638 INFO    StreamThr :59171 [internal.py:wandb_internal():85] W&B internal server running at pid: 59171, started at: 2024-08-06 02:11:18.637671
2024-08-06 02:11:18,639 DEBUG   HandlerThread:59171 [handler.py:handle_request():158] handle_request: status
2024-08-06 02:11:18,649 INFO    WriterThread:59171 [datastore.py:open_for_write():87] open: /home/sehwan/MIIL/VideoCrafter/wandb/run-20240806_021118-ozwriszo/run-ozwriszo.wandb
2024-08-06 02:11:18,649 DEBUG   SenderThread:59171 [sender.py:send():379] send: header
2024-08-06 02:11:18,740 DEBUG   SenderThread:59171 [sender.py:send():379] send: run
2024-08-06 02:11:19,906 INFO    SenderThread:59171 [dir_watcher.py:__init__():211] watching files in: /home/sehwan/MIIL/VideoCrafter/wandb/run-20240806_021118-ozwriszo/files
2024-08-06 02:11:19,907 INFO    SenderThread:59171 [sender.py:_start_run_threads():1188] run started: ozwriszo with start time 1722877878.637665
2024-08-06 02:11:19,916 DEBUG   HandlerThread:59171 [handler.py:handle_request():158] handle_request: check_version
2024-08-06 02:11:19,916 DEBUG   SenderThread:59171 [sender.py:send_request():406] send_request: check_version
2024-08-06 02:11:19,993 DEBUG   HandlerThread:59171 [handler.py:handle_request():158] handle_request: run_start
2024-08-06 02:11:20,009 DEBUG   HandlerThread:59171 [system_info.py:__init__():26] System info init
2024-08-06 02:11:20,009 DEBUG   HandlerThread:59171 [system_info.py:__init__():41] System info init done
2024-08-06 02:11:20,009 INFO    HandlerThread:59171 [system_monitor.py:start():194] Starting system monitor
2024-08-06 02:11:20,009 INFO    SystemMonitor:59171 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-06 02:11:20,009 INFO    HandlerThread:59171 [system_monitor.py:probe():214] Collecting system info
2024-08-06 02:11:20,010 INFO    SystemMonitor:59171 [interfaces.py:start():188] Started cpu monitoring
2024-08-06 02:11:20,010 INFO    SystemMonitor:59171 [interfaces.py:start():188] Started disk monitoring
2024-08-06 02:11:20,010 INFO    SystemMonitor:59171 [interfaces.py:start():188] Started gpu monitoring
2024-08-06 02:11:20,012 INFO    SystemMonitor:59171 [interfaces.py:start():188] Started memory monitoring
2024-08-06 02:11:20,012 INFO    SystemMonitor:59171 [interfaces.py:start():188] Started network monitoring
2024-08-06 02:11:20,022 DEBUG   HandlerThread:59171 [system_info.py:probe():152] Probing system
2024-08-06 02:11:20,024 DEBUG   HandlerThread:59171 [system_info.py:_probe_git():137] Probing git
2024-08-06 02:11:20,029 DEBUG   HandlerThread:59171 [system_info.py:_probe_git():145] Probing git done
2024-08-06 02:11:20,029 DEBUG   HandlerThread:59171 [system_info.py:probe():200] Probing system done
